Length: 10, Average Loss: 1.7679, Std: 1.1105, Max Loss: 13.9705, Max Std: 10.4008, Samples: 126
Length: 11, Average Loss: 1.6648, Std: 0.7076, Max Loss: 13.1680, Max Std: 6.3704, Samples: 110
Length: 12, Average Loss: 1.5964, Std: 0.6458, Max Loss: 13.7755, Max Std: 8.2969, Samples: 103
Length: 13, Average Loss: 1.3690, Std: 0.5456, Max Loss: 11.9970, Max Std: 6.1575, Samples: 1083
Length: 14, Average Loss: 1.3673, Std: 0.4965, Max Loss: 12.2874, Max Std: 5.9735, Samples: 918
Length: 15, Average Loss: 1.3543, Std: 0.4455, Max Loss: 12.4681, Max Std: 5.6220, Samples: 860
Length: 16, Average Loss: 1.3472, Std: 0.4384, Max Loss: 12.6906, Max Std: 5.6359, Samples: 802
Length: 17, Average Loss: 1.3287, Std: 0.4176, Max Loss: 12.6744, Max Std: 5.4462, Samples: 799
Length: 18, Average Loss: 1.3298, Std: 0.3907, Max Loss: 13.0524, Max Std: 5.2897, Samples: 793
Length: 19, Average Loss: 1.3630, Std: 0.4087, Max Loss: 13.3646, Max Std: 5.3086, Samples: 779
Length: 20, Average Loss: 1.3587, Std: 0.3943, Max Loss: 13.6290, Max Std: 5.3403, Samples: 692
Length: 21, Average Loss: 1.3810, Std: 0.3770, Max Loss: 13.8386, Max Std: 5.1597, Samples: 702
Length: 22, Average Loss: 1.3331, Std: 0.3845, Max Loss: 13.7186, Max Std: 5.5190, Samples: 657
Length: 23, Average Loss: 1.3480, Std: 0.3688, Max Loss: 14.3736, Max Std: 5.7631, Samples: 626
Length: 24, Average Loss: 1.3091, Std: 0.3634, Max Loss: 13.9522, Max Std: 5.5528, Samples: 660
Length: 25, Average Loss: 1.3397, Std: 0.3576, Max Loss: 14.8062, Max Std: 5.9140, Samples: 627
Length: 26, Average Loss: 1.3174, Std: 0.3343, Max Loss: 14.8216, Max Std: 5.7701, Samples: 544
Length: 27, Average Loss: 1.2766, Std: 0.3349, Max Loss: 14.6179, Max Std: 5.7706, Samples: 571
Length: 28, Average Loss: 1.2421, Std: 0.3081, Max Loss: 14.2572, Max Std: 5.2249, Samples: 499
Length: 29, Average Loss: 1.2159, Std: 0.2998, Max Loss: 14.2578, Max Std: 5.2482, Samples: 594
Length: 30, Average Loss: 1.1919, Std: 0.2959, Max Loss: 14.2712, Max Std: 5.5694, Samples: 1821
Length: 31, Average Loss: 1.1969, Std: 0.2939, Max Loss: 14.4628, Max Std: 5.4440, Samples: 1795
Length: 32, Average Loss: 1.1865, Std: 0.2874, Max Loss: 14.4961, Max Std: 5.4671, Samples: 1649
Length: 33, Average Loss: 1.1904, Std: 0.2862, Max Loss: 14.7853, Max Std: 5.7064, Samples: 1750
Length: 34, Average Loss: 1.1641, Std: 0.2804, Max Loss: 14.7807, Max Std: 5.6271, Samples: 1680
Length: 35, Average Loss: 1.1774, Std: 0.2884, Max Loss: 15.1461, Max Std: 5.9722, Samples: 1645
Length: 36, Average Loss: 1.1699, Std: 0.2805, Max Loss: 15.3425, Max Std: 6.0123, Samples: 1701
Length: 37, Average Loss: 1.1955, Std: 0.2749, Max Loss: 15.7428, Max Std: 5.7140, Samples: 1609
Length: 38, Average Loss: 1.1603, Std: 0.2741, Max Loss: 15.4294, Max Std: 5.9368, Samples: 1499
Length: 39, Average Loss: 1.1719, Std: 0.2697, Max Loss: 16.0272, Max Std: 6.2044, Samples: 1606
Length: 40, Average Loss: 1.1621, Std: 0.2736, Max Loss: 16.0916, Max Std: 6.6353, Samples: 1296
Length: 41, Average Loss: 1.1817, Std: 0.2920, Max Loss: 16.4110, Max Std: 6.6404, Samples: 1418
Length: 42, Average Loss: 1.1635, Std: 0.2632, Max Loss: 16.6458, Max Std: 6.5949, Samples: 1338
Length: 43, Average Loss: 1.1579, Std: 0.2626, Max Loss: 16.8018, Max Std: 6.6227, Samples: 1318
Length: 44, Average Loss: 1.1731, Std: 0.2846, Max Loss: 17.2680, Max Std: 7.1260, Samples: 1298
Length: 45, Average Loss: 1.1744, Std: 0.2755, Max Loss: 17.5022, Max Std: 7.1081, Samples: 1121
Length: 46, Average Loss: 1.1701, Std: 0.2695, Max Loss: 17.5222, Max Std: 7.0445, Samples: 1224
Length: 47, Average Loss: 1.1599, Std: 0.2590, Max Loss: 17.8620, Max Std: 7.4064, Samples: 1074
Length: 48, Average Loss: 1.1472, Std: 0.2562, Max Loss: 17.6119, Max Std: 7.5748, Samples: 1127
Length: 49, Average Loss: 1.1782, Std: 0.2846, Max Loss: 18.4840, Max Std: 8.2823, Samples: 1164
Length: 50, Average Loss: 1.1793, Std: 0.2928, Max Loss: 18.9065, Max Std: 8.8808, Samples: 1003
Length: 51, Average Loss: 1.1869, Std: 0.2822, Max Loss: 19.2485, Max Std: 8.3756, Samples: 998
Length: 52, Average Loss: 1.1756, Std: 0.2953, Max Loss: 18.9342, Max Std: 8.7629, Samples: 1441
Length: 53, Average Loss: 1.1757, Std: 0.2742, Max Loss: 18.8188, Max Std: 7.5947, Samples: 1607
Length: 54, Average Loss: 1.1758, Std: 0.2550, Max Loss: 18.6906, Max Std: 7.6972, Samples: 1416
Length: 55, Average Loss: 1.1646, Std: 0.2769, Max Loss: 19.2889, Max Std: 8.3495, Samples: 1427
Length: 56, Average Loss: 1.2090, Std: 0.3283, Max Loss: 20.0379, Max Std: 9.1732, Samples: 1530
Length: 57, Average Loss: 1.1839, Std: 0.2956, Max Loss: 19.9848, Max Std: 8.8983, Samples: 1427
Length: 58, Average Loss: 1.1506, Std: 0.2678, Max Loss: 19.4313, Max Std: 8.3369, Samples: 1214
Length: 59, Average Loss: 1.1591, Std: 0.2594, Max Loss: 19.8074, Max Std: 8.9795, Samples: 1472
Length: 60, Average Loss: 1.1465, Std: 0.2741, Max Loss: 19.5614, Max Std: 8.8205, Samples: 1147
Length: 61, Average Loss: 1.1791, Std: 0.2783, Max Loss: 20.2709, Max Std: 9.4596, Samples: 1298
Length: 62, Average Loss: 1.1978, Std: 0.3175, Max Loss: 21.0355, Max Std: 9.9836, Samples: 1373
Length: 63, Average Loss: 1.1671, Std: 0.2569, Max Loss: 20.4160, Max Std: 8.7816, Samples: 1135
Length: 64, Average Loss: 1.1690, Std: 0.2815, Max Loss: 20.3104, Max Std: 8.7564, Samples: 1201
Length: 65, Average Loss: 1.1801, Std: 0.2914, Max Loss: 20.9868, Max Std: 9.2049, Samples: 1240
Length: 66, Average Loss: 1.1745, Std: 0.3091, Max Loss: 20.8532, Max Std: 9.5101, Samples: 1177
Length: 67, Average Loss: 1.1751, Std: 0.2828, Max Loss: 20.8488, Max Std: 8.8396, Samples: 1047
Length: 68, Average Loss: 1.1979, Std: 0.2782, Max Loss: 21.8138, Max Std: 10.4205, Samples: 1205
Length: 69, Average Loss: 1.1688, Std: 0.2565, Max Loss: 21.1512, Max Std: 9.2578, Samples: 1263
Length: 70, Average Loss: 1.2137, Std: 0.3206, Max Loss: 22.2588, Max Std: 10.2574, Samples: 1087
Length: 71, Average Loss: 1.1654, Std: 0.2619, Max Loss: 21.4503, Max Std: 8.8957, Samples: 1080
Length: 72, Average Loss: 1.1735, Std: 0.2832, Max Loss: 21.0218, Max Std: 8.9636, Samples: 997
Length: 73, Average Loss: 1.1917, Std: 0.2855, Max Loss: 21.6958, Max Std: 10.0811, Samples: 976
Length: 74, Average Loss: 1.1545, Std: 0.2642, Max Loss: 21.2352, Max Std: 9.1961, Samples: 992
Length: 75, Average Loss: 1.1687, Std: 0.2697, Max Loss: 21.4248, Max Std: 9.2202, Samples: 1112
Length: 76, Average Loss: 1.1653, Std: 0.2568, Max Loss: 21.9484, Max Std: 9.7749, Samples: 1016
Length: 77, Average Loss: 1.1929, Std: 0.2797, Max Loss: 22.6094, Max Std: 9.9168, Samples: 924
Length: 78, Average Loss: 1.1714, Std: 0.2618, Max Loss: 22.0749, Max Std: 9.9835, Samples: 978
Length: 79, Average Loss: 1.1637, Std: 0.2837, Max Loss: 22.0578, Max Std: 10.1177, Samples: 907
Length: 80, Average Loss: 1.2034, Std: 0.3152, Max Loss: 22.7845, Max Std: 10.6568, Samples: 1529
Length: 81, Average Loss: 1.1759, Std: 0.2972, Max Loss: 22.7611, Max Std: 10.9402, Samples: 1074
Length: 82, Average Loss: 1.1678, Std: 0.2620, Max Loss: 22.3572, Max Std: 9.3983, Samples: 1059
Length: 83, Average Loss: 1.2125, Std: 0.3095, Max Loss: 23.4701, Max Std: 10.7057, Samples: 910
Length: 84, Average Loss: 1.1870, Std: 0.2600, Max Loss: 23.3535, Max Std: 10.2032, Samples: 779
Length: 85, Average Loss: 1.1709, Std: 0.2788, Max Loss: 22.6774, Max Std: 9.6910, Samples: 741
Length: 86, Average Loss: 1.1621, Std: 0.2711, Max Loss: 22.7155, Max Std: 9.7440, Samples: 791
Length: 87, Average Loss: 1.1663, Std: 0.2427, Max Loss: 22.7516, Max Std: 9.1490, Samples: 865
Length: 88, Average Loss: 1.1801, Std: 0.2863, Max Loss: 23.9059, Max Std: 9.9722, Samples: 685
Length: 89, Average Loss: 1.1857, Std: 0.2974, Max Loss: 23.4326, Max Std: 10.4966, Samples: 998
Length: 90, Average Loss: 1.1451, Std: 0.2630, Max Loss: 23.1551, Max Std: 12.4522, Samples: 820
Length: 91, Average Loss: 1.1699, Std: 0.2513, Max Loss: 23.2969, Max Std: 9.8243, Samples: 832
Length: 92, Average Loss: 1.1990, Std: 0.2758, Max Loss: 24.1756, Max Std: 10.4914, Samples: 922
Length: 93, Average Loss: 1.1631, Std: 0.2692, Max Loss: 23.6314, Max Std: 11.6929, Samples: 873
Length: 94, Average Loss: 1.1779, Std: 0.2638, Max Loss: 23.6055, Max Std: 10.4582, Samples: 1121
Length: 95, Average Loss: 1.2187, Std: 0.3188, Max Loss: 24.8236, Max Std: 11.5667, Samples: 913
Length: 96, Average Loss: 1.2524, Std: 0.3416, Max Loss: 25.5886, Max Std: 12.2913, Samples: 988
Length: 97, Average Loss: 1.2001, Std: 0.2907, Max Loss: 25.0247, Max Std: 11.3047, Samples: 706
Length: 98, Average Loss: 1.2198, Std: 0.2773, Max Loss: 24.7666, Max Std: 10.6178, Samples: 797
Length: 99, Average Loss: 1.1733, Std: 0.2583, Max Loss: 24.2338, Max Std: 11.0581, Samples: 884
Length: 100, Average Loss: 1.2304, Std: 0.3246, Max Loss: 25.0426, Max Std: 11.1853, Samples: 1382
