Length: 65, Average Loss: 1.0411, Std: 0.2470, Max Loss: 18.0034, Max Std: 7.4598, Samples: 11639
Length: 66, Average Loss: 1.0462, Std: 0.2491, Max Loss: 18.0265, Max Std: 7.4975, Samples: 11170
Length: 67, Average Loss: 1.0760, Std: 0.2427, Max Loss: 18.7278, Max Std: 7.5027, Samples: 10435
Length: 68, Average Loss: 1.0881, Std: 0.2436, Max Loss: 19.1204, Max Std: 7.6943, Samples: 11878
Length: 69, Average Loss: 1.0779, Std: 0.2497, Max Loss: 19.1675, Max Std: 7.8669, Samples: 11937
Length: 70, Average Loss: 1.1320, Std: 0.2892, Max Loss: 20.4167, Max Std: 8.8129, Samples: 10528
Length: 71, Average Loss: 1.0890, Std: 0.2444, Max Loss: 19.6498, Max Std: 7.9790, Samples: 9966
Length: 72, Average Loss: 1.1090, Std: 0.2528, Max Loss: 20.2052, Max Std: 8.6303, Samples: 9935
Length: 73, Average Loss: 1.1414, Std: 0.2826, Max Loss: 20.9318, Max Std: 8.9189, Samples: 9735
Length: 74, Average Loss: 1.1054, Std: 0.2592, Max Loss: 20.2906, Max Std: 8.5144, Samples: 10136
Length: 75, Average Loss: 1.1177, Std: 0.2490, Max Loss: 20.5811, Max Std: 8.3170, Samples: 10893
Length: 76, Average Loss: 1.1354, Std: 0.2701, Max Loss: 21.2581, Max Std: 9.0012, Samples: 10229
Length: 77, Average Loss: 1.1380, Std: 0.2650, Max Loss: 21.5064, Max Std: 8.8209, Samples: 9230
Length: 78, Average Loss: 1.1435, Std: 0.2576, Max Loss: 21.5916, Max Std: 8.9632, Samples: 9900
Length: 79, Average Loss: 1.1194, Std: 0.2498, Max Loss: 21.2495, Max Std: 8.6876, Samples: 9533
Length: 80, Average Loss: 1.1804, Std: 0.3088, Max Loss: 22.2982, Max Std: 10.0693, Samples: 15780
Length: 81, Average Loss: 1.1417, Std: 0.2590, Max Loss: 22.0898, Max Std: 9.4197, Samples: 10596
Length: 82, Average Loss: 1.1518, Std: 0.2567, Max Loss: 22.1066, Max Std: 9.1178, Samples: 10366
Length: 83, Average Loss: 1.1976, Std: 0.3006, Max Loss: 23.3048, Max Std: 10.1959, Samples: 8928
Length: 84, Average Loss: 1.1919, Std: 0.2793, Max Loss: 23.5853, Max Std: 10.1525, Samples: 7462
Length: 85, Average Loss: 1.1806, Std: 0.2814, Max Loss: 23.0401, Max Std: 9.7464, Samples: 7435
Length: 86, Average Loss: 1.1855, Std: 0.2621, Max Loss: 23.6333, Max Std: 9.9028, Samples: 7691
Length: 87, Average Loss: 1.1952, Std: 0.2698, Max Loss: 23.7221, Max Std: 10.3190, Samples: 8403
Length: 88, Average Loss: 1.2010, Std: 0.2755, Max Loss: 24.0012, Max Std: 9.9224, Samples: 6792
Length: 89, Average Loss: 1.2259, Std: 0.2947, Max Loss: 24.8483, Max Std: 11.1857, Samples: 9362
Length: 90, Average Loss: 1.2233, Std: 0.2933, Max Loss: 24.7163, Max Std: 11.0540, Samples: 8632
Length: 91, Average Loss: 1.2087, Std: 0.2535, Max Loss: 24.6015, Max Std: 9.9930, Samples: 7996
Length: 92, Average Loss: 1.2548, Std: 0.3103, Max Loss: 25.8442, Max Std: 11.4851, Samples: 8799
Length: 93, Average Loss: 1.2099, Std: 0.2913, Max Loss: 25.0555, Max Std: 10.9403, Samples: 8799
Length: 94, Average Loss: 1.2403, Std: 0.2729, Max Loss: 25.6828, Max Std: 10.6424, Samples: 10801
Length: 95, Average Loss: 1.2667, Std: 0.3233, Max Loss: 26.5889, Max Std: 12.2449, Samples: 8695
Length: 96, Average Loss: 1.2994, Std: 0.3387, Max Loss: 27.3384, Max Std: 12.5789, Samples: 9866
Length: 97, Average Loss: 1.2635, Std: 0.3037, Max Loss: 26.3605, Max Std: 11.4627, Samples: 6724
Length: 98, Average Loss: 1.2830, Std: 0.3052, Max Loss: 27.4565, Max Std: 12.1991, Samples: 7957
Length: 99, Average Loss: 1.2389, Std: 0.2804, Max Loss: 25.9929, Max Std: 11.0095, Samples: 8800
Length: 100, Average Loss: 1.2914, Std: 0.3521, Max Loss: 27.3995, Max Std: 12.6654, Samples: 13733
Length: 101, Average Loss: 1.3504, Std: 0.3536, Max Loss: 29.2846, Max Std: 14.0206, Samples: 8688
Length: 102, Average Loss: 1.2830, Std: 0.2838, Max Loss: 27.5210, Max Std: 11.8662, Samples: 8563
Length: 103, Average Loss: 1.2611, Std: 0.2670, Max Loss: 27.3031, Max Std: 11.5142, Samples: 7957
Length: 104, Average Loss: 1.2812, Std: 0.2802, Max Loss: 27.4590, Max Std: 11.8074, Samples: 7325
Length: 105, Average Loss: 1.3046, Std: 0.3268, Max Loss: 28.5065, Max Std: 13.0970, Samples: 8194
Length: 106, Average Loss: 1.3185, Std: 0.3297, Max Loss: 28.8446, Max Std: 13.0662, Samples: 8261
Length: 107, Average Loss: 1.3171, Std: 0.2921, Max Loss: 28.8157, Max Std: 12.2720, Samples: 8296
Length: 108, Average Loss: 1.2993, Std: 0.3027, Max Loss: 28.9476, Max Std: 12.9025, Samples: 8727
Length: 109, Average Loss: 1.3013, Std: 0.2902, Max Loss: 28.6593, Max Std: 12.1400, Samples: 7058
Length: 110, Average Loss: 1.2895, Std: 0.2793, Max Loss: 28.5525, Max Std: 12.5859, Samples: 6686
Length: 111, Average Loss: 1.3274, Std: 0.3325, Max Loss: 29.6896, Max Std: 13.6243, Samples: 8069
Length: 112, Average Loss: 1.3293, Std: 0.2918, Max Loss: 30.3000, Max Std: 13.0632, Samples: 7400
Length: 113, Average Loss: 1.3771, Std: 0.3508, Max Loss: 31.8732, Max Std: 14.7453, Samples: 7459
Length: 114, Average Loss: 1.3521, Std: 0.3155, Max Loss: 30.8391, Max Std: 14.2309, Samples: 7929
Length: 115, Average Loss: 1.3430, Std: 0.2983, Max Loss: 30.4587, Max Std: 13.3364, Samples: 7857
Length: 116, Average Loss: 1.3810, Std: 0.3157, Max Loss: 32.0815, Max Std: 14.3115, Samples: 7256
Length: 117, Average Loss: 1.4288, Std: 0.3981, Max Loss: 33.5757, Max Std: 16.1983, Samples: 7227
Length: 118, Average Loss: 1.3567, Std: 0.2908, Max Loss: 30.9729, Max Std: 13.3892, Samples: 6959
Length: 119, Average Loss: 1.3317, Std: 0.3462, Max Loss: 30.5878, Max Std: 14.2251, Samples: 6389
Length: 120, Average Loss: 1.4030, Std: 0.4156, Max Loss: 31.9007, Max Std: 15.8910, Samples: 15269
Length: 121, Average Loss: 1.3868, Std: 0.3748, Max Loss: 32.4218, Max Std: 15.2859, Samples: 7495
Length: 122, Average Loss: 1.4149, Std: 0.3493, Max Loss: 33.1427, Max Std: 15.1853, Samples: 5822
Length: 123, Average Loss: 1.3799, Std: 0.3301, Max Loss: 31.9302, Max Std: 13.7951, Samples: 6755
Length: 124, Average Loss: 1.3639, Std: 0.3333, Max Loss: 31.9363, Max Std: 14.6836, Samples: 8727
Length: 125, Average Loss: 1.4130, Std: 0.3402, Max Loss: 33.0898, Max Std: 14.7669, Samples: 7623
Length: 126, Average Loss: 1.4009, Std: 0.3365, Max Loss: 33.2215, Max Std: 15.2000, Samples: 7832
Length: 127, Average Loss: 1.3874, Std: 0.3088, Max Loss: 32.6887, Max Std: 14.1463, Samples: 6990
Length: 128, Average Loss: 1.4334, Std: 0.4243, Max Loss: 34.9732, Max Std: 18.5430, Samples: 7523
Length: 129, Average Loss: 1.3871, Std: 0.2996, Max Loss: 32.7561, Max Std: 13.3763, Samples: 7826
Length: 130, Average Loss: 1.3749, Std: 0.3241, Max Loss: 32.7051, Max Std: 14.0797, Samples: 7757
Length: 131, Average Loss: 1.3879, Std: 0.3124, Max Loss: 33.0176, Max Std: 14.3258, Samples: 8391
Length: 132, Average Loss: 1.4157, Std: 0.3259, Max Loss: 33.8052, Max Std: 14.9388, Samples: 7560
Length: 133, Average Loss: 1.3909, Std: 0.2950, Max Loss: 33.5759, Max Std: 14.4897, Samples: 6454
Length: 134, Average Loss: 1.4298, Std: 0.3168, Max Loss: 34.3860, Max Std: 14.9654, Samples: 7657
Length: 135, Average Loss: 1.4103, Std: 0.3467, Max Loss: 34.3549, Max Std: 16.5934, Samples: 6118
Length: 136, Average Loss: 1.3891, Std: 0.2753, Max Loss: 33.6307, Max Std: 14.5317, Samples: 7922
Length: 137, Average Loss: 1.4768, Std: 0.3761, Max Loss: 36.8991, Max Std: 17.6920, Samples: 6824
Length: 138, Average Loss: 1.3899, Std: 0.3063, Max Loss: 33.4818, Max Std: 14.2831, Samples: 7421
Length: 139, Average Loss: 1.4565, Std: 0.3057, Max Loss: 35.2644, Max Std: 15.0046, Samples: 7089
Length: 140, Average Loss: 1.4319, Std: 0.3739, Max Loss: 34.4091, Max Std: 16.1698, Samples: 13567
Length: 141, Average Loss: 1.4586, Std: 0.3427, Max Loss: 35.8397, Max Std: 16.1171, Samples: 7458
Length: 142, Average Loss: 1.5859, Std: 0.4319, Max Loss: 40.3588, Max Std: 19.2580, Samples: 5449
Length: 143, Average Loss: 1.4432, Std: 0.3104, Max Loss: 35.5707, Max Std: 15.6067, Samples: 5390
Length: 144, Average Loss: 1.4282, Std: 0.3098, Max Loss: 35.1509, Max Std: 14.9424, Samples: 6219
Length: 145, Average Loss: 1.5016, Std: 0.3878, Max Loss: 38.4836, Max Std: 19.1224, Samples: 7021
Length: 146, Average Loss: 1.4866, Std: 0.3097, Max Loss: 36.9248, Max Std: 15.6016, Samples: 6216
Length: 147, Average Loss: 1.5055, Std: 0.3428, Max Loss: 37.3349, Max Std: 16.6972, Samples: 5854
Length: 148, Average Loss: 1.4787, Std: 0.3385, Max Loss: 37.1475, Max Std: 16.5491, Samples: 7960
Length: 149, Average Loss: 1.5140, Std: 0.3963, Max Loss: 38.0621, Max Std: 18.0939, Samples: 6256
Length: 150, Average Loss: 1.4872, Std: 0.3525, Max Loss: 37.0376, Max Std: 16.6802, Samples: 6458
Length: 151, Average Loss: 1.4875, Std: 0.3112, Max Loss: 37.5984, Max Std: 16.0423, Samples: 5987
Length: 152, Average Loss: 1.4382, Std: 0.3039, Max Loss: 36.1368, Max Std: 15.2319, Samples: 6220
Length: 153, Average Loss: 1.4382, Std: 0.2805, Max Loss: 35.6067, Max Std: 14.6484, Samples: 5957
Length: 154, Average Loss: 1.6085, Std: 0.4497, Max Loss: 41.5762, Max Std: 20.6818, Samples: 6290
Length: 155, Average Loss: 1.4915, Std: 0.3255, Max Loss: 37.4741, Max Std: 16.6150, Samples: 5214
Length: 156, Average Loss: 1.5728, Std: 0.4764, Max Loss: 40.0482, Max Std: 21.1723, Samples: 6287
Length: 157, Average Loss: 1.4897, Std: 0.2934, Max Loss: 37.9770, Max Std: 15.7617, Samples: 6258
Length: 158, Average Loss: 1.4710, Std: 0.2931, Max Loss: 37.6408, Max Std: 16.1563, Samples: 6589
Length: 159, Average Loss: 1.4985, Std: 0.3448, Max Loss: 38.5818, Max Std: 17.4224, Samples: 5487
Length: 160, Average Loss: 1.5360, Std: 0.4639, Max Loss: 38.9950, Max Std: 19.3135, Samples: 12232
Length: 161, Average Loss: 1.4877, Std: 0.3412, Max Loss: 38.1393, Max Std: 17.0252, Samples: 5453
Length: 162, Average Loss: 1.5206, Std: 0.3180, Max Loss: 39.1657, Max Std: 16.8152, Samples: 5651
Length: 163, Average Loss: 1.4959, Std: 0.3207, Max Loss: 38.3461, Max Std: 17.4229, Samples: 6458
Length: 164, Average Loss: 1.5595, Std: 0.3751, Max Loss: 40.1371, Max Std: 17.7408, Samples: 6152
Length: 165, Average Loss: 1.5393, Std: 0.3715, Max Loss: 39.9463, Max Std: 18.6501, Samples: 6984
Length: 166, Average Loss: 1.5480, Std: 0.3074, Max Loss: 39.5397, Max Std: 16.3881, Samples: 6082
Length: 167, Average Loss: 1.5277, Std: 0.3286, Max Loss: 39.9393, Max Std: 17.8702, Samples: 6755
Length: 168, Average Loss: 1.5409, Std: 0.3430, Max Loss: 39.8798, Max Std: 17.4703, Samples: 6889
Length: 169, Average Loss: 1.6167, Std: 0.3965, Max Loss: 42.5257, Max Std: 19.7216, Samples: 6458
Length: 170, Average Loss: 1.5417, Std: 0.3353, Max Loss: 39.6074, Max Std: 17.3545, Samples: 6455
Length: 171, Average Loss: 1.5676, Std: 0.3499, Max Loss: 40.7558, Max Std: 18.5953, Samples: 5153
Length: 172, Average Loss: 1.6075, Std: 0.4305, Max Loss: 42.3796, Max Std: 20.7990, Samples: 7254
Length: 173, Average Loss: 1.5585, Std: 0.3380, Max Loss: 41.2116, Max Std: 18.7114, Samples: 5049
Length: 174, Average Loss: 1.5293, Std: 0.3584, Max Loss: 40.1602, Max Std: 18.4863, Samples: 5451
Length: 175, Average Loss: 1.5710, Std: 0.3523, Max Loss: 41.3409, Max Std: 17.7452, Samples: 5787
Length: 176, Average Loss: 1.5510, Std: 0.4150, Max Loss: 40.7610, Max Std: 18.7071, Samples: 5686
Length: 177, Average Loss: 1.6620, Std: 0.4161, Max Loss: 45.0062, Max Std: 21.5188, Samples: 6556
Length: 178, Average Loss: 1.5536, Std: 0.3479, Max Loss: 42.8116, Max Std: 19.3300, Samples: 4920
Length: 179, Average Loss: 1.5587, Std: 0.2812, Max Loss: 40.8224, Max Std: 16.0078, Samples: 6687
Length: 180, Average Loss: 1.5614, Std: 0.3903, Max Loss: 40.4696, Max Std: 19.1110, Samples: 13308
Length: 181, Average Loss: 1.5469, Std: 0.2980, Max Loss: 41.1755, Max Std: 16.8417, Samples: 5181
Length: 182, Average Loss: 1.6064, Std: 0.3255, Max Loss: 42.7969, Max Std: 18.8708, Samples: 5653
Length: 183, Average Loss: 1.6046, Std: 0.3828, Max Loss: 43.9817, Max Std: 21.4961, Samples: 6256
Length: 184, Average Loss: 1.6625, Std: 0.5052, Max Loss: 45.3324, Max Std: 23.5948, Samples: 6053
Length: 185, Average Loss: 1.5498, Std: 0.3084, Max Loss: 41.4836, Max Std: 17.5496, Samples: 6955
Length: 186, Average Loss: 1.6048, Std: 0.3591, Max Loss: 44.1050, Max Std: 19.2786, Samples: 6822
Length: 187, Average Loss: 1.6966, Std: 0.4219, Max Loss: 46.0747, Max Std: 21.6958, Samples: 4686
Length: 188, Average Loss: 1.5986, Std: 0.4138, Max Loss: 43.1743, Max Std: 20.9459, Samples: 5385
Length: 189, Average Loss: 1.6904, Std: 0.4460, Max Loss: 47.6893, Max Std: 23.9794, Samples: 5615
Length: 190, Average Loss: 1.6150, Std: 0.3659, Max Loss: 43.7655, Max Std: 20.0154, Samples: 5386
Length: 191, Average Loss: 1.6899, Std: 0.4473, Max Loss: 47.0159, Max Std: 24.5058, Samples: 5585
Length: 192, Average Loss: 1.6656, Std: 0.4758, Max Loss: 46.7164, Max Std: 25.3100, Samples: 4884
Length: 193, Average Loss: 1.5580, Std: 0.2972, Max Loss: 41.7078, Max Std: 17.2130, Samples: 6827
Length: 194, Average Loss: 1.6333, Std: 0.3609, Max Loss: 44.3837, Max Std: 19.1114, Samples: 4951
Length: 195, Average Loss: 1.5823, Std: 0.3675, Max Loss: 42.7376, Max Std: 18.8058, Samples: 5821
Length: 196, Average Loss: 1.8094, Std: 0.5816, Max Loss: 52.5255, Max Std: 29.2955, Samples: 5785
Length: 197, Average Loss: 1.6951, Std: 0.4004, Max Loss: 47.4453, Max Std: 22.7240, Samples: 6184
Length: 198, Average Loss: 1.6320, Std: 0.3952, Max Loss: 44.0003, Max Std: 20.3862, Samples: 5950
Length: 199, Average Loss: 1.6012, Std: 0.3069, Max Loss: 43.7397, Max Std: 17.7826, Samples: 6356
Length: 200, Average Loss: 1.6166, Std: 0.4746, Max Loss: 43.4217, Max Std: 22.9332, Samples: 12730
Length: 201, Average Loss: 1.7393, Std: 0.4430, Max Loss: 48.3876, Max Std: 23.3689, Samples: 5087
Length: 202, Average Loss: 1.6192, Std: 0.3314, Max Loss: 44.3078, Max Std: 19.0843, Samples: 6458
Length: 203, Average Loss: 1.5811, Std: 0.3141, Max Loss: 42.8376, Max Std: 18.5446, Samples: 4682
Length: 204, Average Loss: 1.6974, Std: 0.3661, Max Loss: 47.3046, Max Std: 20.9778, Samples: 5919
Length: 205, Average Loss: 1.7444, Std: 0.4908, Max Loss: 48.9087, Max Std: 25.2588, Samples: 6052
Length: 206, Average Loss: 1.7016, Std: 0.3980, Max Loss: 47.3661, Max Std: 22.1866, Samples: 6121
Length: 207, Average Loss: 1.6741, Std: 0.3450, Max Loss: 46.3113, Max Std: 20.2633, Samples: 5053
Length: 208, Average Loss: 1.6575, Std: 0.3649, Max Loss: 46.4582, Max Std: 20.2555, Samples: 6387
Length: 209, Average Loss: 1.6569, Std: 0.2858, Max Loss: 45.2493, Max Std: 18.1172, Samples: 5316
Length: 210, Average Loss: 1.7056, Std: 0.4409, Max Loss: 48.0591, Max Std: 23.4591, Samples: 4719
Length: 211, Average Loss: 1.8105, Std: 0.4117, Max Loss: 51.8700, Max Std: 23.7550, Samples: 4883
Length: 212, Average Loss: 1.6805, Std: 0.3614, Max Loss: 45.9307, Max Std: 19.6732, Samples: 6358
Length: 213, Average Loss: 1.7851, Std: 0.4210, Max Loss: 51.1803, Max Std: 23.7705, Samples: 6054
Length: 214, Average Loss: 1.5812, Std: 0.2953, Max Loss: 43.7598, Max Std: 18.2145, Samples: 5522
Length: 215, Average Loss: 1.7293, Std: 0.4121, Max Loss: 48.9207, Max Std: 22.4519, Samples: 4754
Length: 216, Average Loss: 1.6632, Std: 0.3490, Max Loss: 46.9991, Max Std: 20.4602, Samples: 4145
Length: 217, Average Loss: 1.7873, Std: 0.4892, Max Loss: 52.7096, Max Std: 26.2493, Samples: 5383
Length: 218, Average Loss: 1.6305, Std: 0.2925, Max Loss: 45.7633, Max Std: 18.3515, Samples: 4180
Length: 219, Average Loss: 1.8123, Std: 0.5177, Max Loss: 51.9843, Max Std: 26.6913, Samples: 4284
Length: 220, Average Loss: 1.7238, Std: 0.4654, Max Loss: 48.7617, Max Std: 25.4584, Samples: 13161
Length: 221, Average Loss: 1.6394, Std: 0.3224, Max Loss: 45.7509, Max Std: 19.2562, Samples: 5948
Length: 222, Average Loss: 1.6869, Std: 0.3443, Max Loss: 48.5590, Max Std: 20.9502, Samples: 5219
Length: 223, Average Loss: 1.7176, Std: 0.3612, Max Loss: 50.1321, Max Std: 24.4268, Samples: 4144
Length: 224, Average Loss: 1.7993, Std: 0.4279, Max Loss: 50.9984, Max Std: 24.4468, Samples: 5118
Length: 225, Average Loss: 1.6780, Std: 0.3730, Max Loss: 46.8139, Max Std: 21.8400, Samples: 5320
Length: 226, Average Loss: 1.7994, Std: 0.4602, Max Loss: 52.2057, Max Std: 25.9982, Samples: 5353
Length: 227, Average Loss: 1.7669, Std: 0.4847, Max Loss: 52.7828, Max Std: 26.8137, Samples: 4545
Length: 228, Average Loss: 1.8000, Std: 0.4114, Max Loss: 52.5434, Max Std: 23.8273, Samples: 5452
Length: 229, Average Loss: 1.8263, Std: 0.5613, Max Loss: 54.5396, Max Std: 30.0274, Samples: 5253
Length: 230, Average Loss: 1.7609, Std: 0.3907, Max Loss: 51.1836, Max Std: 26.0899, Samples: 5718
Length: 231, Average Loss: 1.7315, Std: 0.3818, Max Loss: 49.8220, Max Std: 23.7547, Samples: 5384
Length: 232, Average Loss: 1.8291, Std: 0.4512, Max Loss: 54.3396, Max Std: 26.9746, Samples: 3848
Length: 233, Average Loss: 1.7956, Std: 0.4456, Max Loss: 51.8318, Max Std: 23.9173, Samples: 5518
Length: 234, Average Loss: 1.7068, Std: 0.3250, Max Loss: 49.1388, Max Std: 22.0189, Samples: 5418
Length: 235, Average Loss: 1.6984, Std: 0.3852, Max Loss: 48.2889, Max Std: 21.8349, Samples: 4718
Length: 236, Average Loss: 1.7818, Std: 0.3768, Max Loss: 50.7627, Max Std: 22.6711, Samples: 4948
Length: 237, Average Loss: 1.8170, Std: 0.3763, Max Loss: 52.9428, Max Std: 22.7655, Samples: 5553
Length: 238, Average Loss: 1.7186, Std: 0.3830, Max Loss: 49.9445, Max Std: 22.9383, Samples: 6251
Length: 239, Average Loss: 1.7807, Std: 0.4335, Max Loss: 51.5592, Max Std: 24.0392, Samples: 6251
Length: 240, Average Loss: 1.9059, Std: 0.5767, Max Loss: 55.6636, Max Std: 29.7156, Samples: 15502
Length: 241, Average Loss: 1.6976, Std: 0.3018, Max Loss: 47.9066, Max Std: 19.9936, Samples: 4180
Length: 242, Average Loss: 1.7774, Std: 0.3323, Max Loss: 50.2673, Max Std: 21.0193, Samples: 6350
Length: 243, Average Loss: 1.8326, Std: 0.5276, Max Loss: 53.8204, Max Std: 28.6880, Samples: 4115
Length: 244, Average Loss: 1.8819, Std: 0.4840, Max Loss: 57.0899, Max Std: 29.1202, Samples: 6052
Length: 245, Average Loss: 1.8498, Std: 0.3933, Max Loss: 56.1808, Max Std: 25.5130, Samples: 5583
Length: 246, Average Loss: 1.8269, Std: 0.4144, Max Loss: 54.0757, Max Std: 25.1157, Samples: 5718
Length: 247, Average Loss: 1.9409, Std: 0.4833, Max Loss: 59.3869, Max Std: 31.5138, Samples: 6051
Length: 248, Average Loss: 1.8878, Std: 0.4525, Max Loss: 56.1114, Max Std: 27.3646, Samples: 5184
Length: 249, Average Loss: 1.7994, Std: 0.4774, Max Loss: 52.6072, Max Std: 28.0722, Samples: 5218
Length: 250, Average Loss: 1.8390, Std: 0.4114, Max Loss: 56.1413, Max Std: 27.8010, Samples: 5544
